TÍTULO,NOME COORDENADOR,CAMPUS
 Oficina de Iniciação ao Xadrez,Rosemary Barbosa da Silva ,Pirapora
Dezembro Mais Feliz CAPSI, Rosemary Barbosa da Silva,Pirapora
MARKETING DIGITAL:conecte a sua empresa ao mundo,Rosemary Barbosa da Silva,Pirapora
Empresa Legal: uma abordagem simplificada sobre a correta escrituração das atividades bem como suas implicaçõe,Rosemary Barbosa da Silva,Pirapora
Aprendendo sobre inclusão social em forma de brincadeira,Rosemary Barbosa da Silva,Pirapora
O Currículo como Diferencial competitivo na busca do emprego,Rosemary Barbosa da Silva,Pirapora
Hortas Sustentáveis: Praticas Comunitárias de Segurança Alimentar e Agricultura Urbana no Campus Porteirinha,Pedro Paulo Ferreira Brito,Porteirinha
Inglês Instrumental para alunos de Informática,Joyce Meire da Silva França,Porteirinha
Ensino de Programação com o Software Scratch,Igor Sérgio de Oliveira Freitas,Porteirinha
Desenvolvimento de sistema Web para evento científico do curso de Licenciatura em Física do IFNMG/Campus Salinas - Parte II Implantação,Arthur Faria Porto,Salinas
Processo participativo de implantação do horto de plantas medicinais do IFNMG Campus Salinas,Patricia Nery Silva Souza,Salinas
Elaboração de sobremesa láctea tipo mousse enriquecida com óléo de maracujá-do-mato (passiflora cincinatta): aceitabilidade por crianças da rede pública de Salinas - MG,Fábio Wéliton Joerge Lima,Salinas
Internet Campus Salinas - Estudo de utilização e comportamento,Jamerson Jardel Macedo Nere,Salinas
Avaliação da aceitabilidade da alimentação oferecida aos escolares da Rede Pública de Ensino da cidade de Salinas - MG: uma contribuição para redução do desperdício de alimentos,Daniela Caetano Cardoso,Salinas
Viveiro Itinerante: um incentivo à recomposição florestal de matas ciliares na comunidade Santana II,Jéssica Costa de Oliveira,Salinas
"Caracterização de condições higiênico-sanitárias e tecnológicas da pesca, beneficiamento e comercialização, praticados por pescadores da Tilápia do Nilo (Oreochromisniloticus), no mercado municipal de Salinas - MG",Thiago Moreira dos Santos,Salinas
"Desenvolvimento de sistema Participativo de Garantia (SPG) de produção orgânica em uma comunidade rural de Salinas, norte de Minas Gerais, em parceria com o Sindicato dos Trabalhadores Rurais do município",Andréia de Paula Viana,Salinas
Uma proposta de capacitação docente ao uso das novas tecnologias no ensino,Ana Clara Gonçalves Alves de Meira,Salinas
Analisar a viabilidade econômica do aproveitamento do resíduo de banana passa e doces,Edilene Alves Barbosa,Salinas
Elaboração e aceitabilidade de pães nutritivos a partir do mosto de cevada e trigo proveniente do processo de cervejaria artesanal: uma alternativa para enriquecimento nutricional,Marcia Antunes dos S. Rodrigues,Salinas
Mapeamento e análise do perfil dos hospedes da rede hoteleira de Salinas (MG),Leonardo Luiz Silveira da Silva,Salinas
"Assistência Técnica à pequenas propriedades de leite da Região de Salinas - MG, voltada ao controle químico do carrapato do boi",Vanessa Paulino da Cruz Vieira,Salinas
"Capacitação dos produtores de Caciocavallo (Cabacinha) do Município de Cachoeira de Pajeú- MG, sobre os aspectos legais de produção e comercialização do queijo",Roberta Magalhães Dias Cardozo,Salinas
Física e Astronomia : Conhecendo o universo,Geraldo Magela Cardoso,Salinas
Revitalização de Microbarragens no baixo Bananal,Wania Silvinha Loiola de Oliveira,Salinas
Rede de Prosa: a contação de histórias como instrumento para compartilhar vivências,Daiane Silva Andrade,Salinas
Avaliação das condições Higiênico- sanitárias da carne bovina comercializada na cidade de Salinas- MG,Isis Celena Amaral,Salinas
Comissão Conectada,Jamerson Jardel Macedo Nere,Salinas
Castração e controle populacional de cães e gatos no municipio de salinas - MG,Walter Octaviano Bernis Filho,Salinas
ReproSal - Grupo de Estudos em Redrodução Animal e de Assistência Técnica em Manejo Reprodutivo do IFNMG - Salinas - MG,Wolff Camargo Marques Filho,Salinas
Treinamento de Boas Praticas de Fabricação para os produtores de lácteos que comercializam seus produtos no Merado Municipal de Salinas - MG,Solimar Gonçalves Machado,Salinas
Conjugação de Ler,Leandro de Paula Liberato ,Teófilo Otoni
"Pré-IFNMG: Meritocracia, igualdade de oportunidades e equidade",Paulo Sérgio de Souza e Silva,Teófilo Otoni
English Conversation Club - Club de Conversação em Inglês,Lauro Sérgio Machado Pereira,Reitoria
Semana Interna de Prevenção de Acidente - SIPAT,Valmir Pereira Magalhães,Reitoria
Elaboração de portfólio de Oportunidades do IFNMG,Fernando Antônio Thomé Andrade,Reitoria
Semana Integrada de Eventos,Kleber Carvalho dos Santos,Reitoria
Reestruturação da pagina da Extensão no Portal do IFNMG,Gustavo Henrich Evangelista Vieira,Reitoria
Clube do Empreendedor no IFNMG,Wadingthon Veloso Silva,Reitoria
