TÍTULO,NOME COORDENADOR,CAMPUS
Ensino de Desenho de Cordel para alunos da APAE Pirapora,Marcelo de Oliveira Rosa,Pirapora
Terceiro Ciclo de palestras das Micro e Pequenas Empresas de Pirapora- Casos Padaria Maná e Motel Doce Vereda,Rosemary Barbosa da Silva Moura,Pirapora
Terceiro Ciclo de palestras das Micro e Pequenas Empresas de Pirapora- Casos Barbearia Pirapora e PC Construtora,Rosemary Barbosa da Silva Moura,Pirapora
Terceiro Ciclo de palestras das Micro e Pequenas Empresas de Pirapora- Casos Clorominas e La Luna Pub,Rosemary Barbosa da Silva Moura,Pirapora
Robótica com Arduíno na Infância,Igor Sérgio de Oliveira Freitas,Porteirinha
Matemática em Problemas,Igor Sérgio de Oliveira Freitas,Porteirinha
"Festival Intercampi de Culturas: Encantos dos Vales, Montes e Sertões do IFNMG",Igor Sergio de Oliveira Freitas,Porteirinha
Projeto de Sustentabilidade Ambiental,Hudson Tadeu Silva Nobre,Porteirinha
Projeto Acompanhamento de Egressos,Enivan Keles Farias Santos,Porteirinha
Clube do Empreendedor,Wagner Cavalcante Medeiros,Porteirinha
Elaboração do Portfólio de Oportunidades do IFNMG,Fernanda Pereira Santana,Porteirinha
Esporte Escolar no IFNMG - Campus Avançado Porteirinha: Inclusão Social e Educação, Wilney Fernando Silva,Porteirinha
"Educação em saúde para a problemática de cães Errantes no município de Salinas, Norte de Minas Gerais",Vanessa Paulino da Cruz Vieira,Salinas
Diagnóstico e caracterização dos produtores e do processo produtivo do mel comercializado na região de Salinas-MG,Thiago Moreira dos Santos,Salinas
"ReproSal - Grupo de Estudos em Reprodução Animal e de Assistência Técnica em Manejo Reprodutivo do IFNMG, Salinas, MG.",Wolff Camargo Marques Filho,Salinas
" Saúde, Qualidade de Vida E Autonomia: plantas medicinais e os saberes da mulher rural",Patricia Nery Silva Souza,Salinas
"Pragas Urbanas: ""Bichos SA""",Valeria Magro Octaviano Bernis,Salinas
Uma proposta de ensino de língua inglesa e espanhola para os alunos da Associação Hope of the Future,Carla Gracielle Ramos Fraga,Salinas
Combatendo o Aedes Aegypti: o melhor remédio é a prevenção,Patricia Nery Silva Souza,Salinas
 Capacitação de produtores de tomate quanto a produção sustentável de tomate seco,Bruna Castro Porto,Salinas
HAMBÚRGUER COM CARNE OVINA enriquecido com fibras e inulina com intuito de agregar valor nutricional para alimentação de adolescentes de escolas da rede pública de Salinas-MG.,Daniela Caetano Cardoso,Salinas
Elaboração de hidrogel a partir do mesocarpo Externo do pequi (caryocar brasiliense camb.) como alternativa no aumento da capacidade de armazenamento de água em substrato para podução de mudas,Isis Celena Amaral,Salinas
Emprego de Métodos Sustentáveis para o Reaproveitamento dos Alimentos do Mercado Municipal de Salinas,Jean Pereira Coutinho,Salinas
 Castração e Controle Populacional de Cães e Gatos no município de Salinas-MG,Walter Octaviano Bernis Filho,Salinas
"Implantação de Unidade Demonstrativa Sustentável com forrageiras alternativas adaptadas ao clima semiárido, no IFNMG-Campus Salinas",Susi Cristina dos Santos Guimaraes Martins,Salinas
"Atividades Experimentais de Física de fácil montagem, bom manuseio e baixo custo como recurso pedagógico no ensino médio da Escola Estadual Doutor Osvaldo Prediliano Sant'Anna em Salinas - MG",Vailton Afonso da Silva,Salinas
"Utilização de práticas sustentáveis a partir do conhecimento das propriedades físicas e químicas do solo e do uso da matéria orgânica no Vale do Rio Bananal, município de Salinas-MG.",Eva Rodrigues de Souza,Salinas
Avaliação e controle da qualidade microbiológica de mãos de manipuladores de alimentos em Escolas Públicas de Salinas/MG,Edilene Alves Barbosa,Salinas
Aproveitamento de excedente agrícola para produção de tomate seco por secagem natural,Andreia de Paula Viana,Salinas
"Assistência técnica, aperfeiçoamento e atualização em piscicultura na região de Salinas/MG",Julio Cesar Oliveira Dias,Salinas
"""Bialogando"" com o Ensino Fundamental",Aurelio Marques de Oliveira,Salinas
Uso Racional da Água: atividades interdisciplinares em escolas públicas do município de Salinas - MG,Ronaldo Medeiros dos Santos,Salinas
"Manejo simplificado da irrigação de pastagens na região de Salinas, MG",Marcelo Rossi Vicente,Salinas
Práticas de Manejo Sustentável do Ambiente Rural na Região de Salinas/MG,Vinicius Orlandi Barbosa Lima,Salinas
Elaboração e Implantação do Manual de Boas Práticas de Fabricação no Abatedouro Municipal de Salinas - MG,Higor Alexandre Rodrigues Maia,Salinas
Ensino de Física em comunidades quilombolas através de uma abordagem com enfoque CTS.,Alisson Marques de Miranda,Salinas
Ensino de Astronomia na Educação Básica: Associando Teoria e Prática.,Alisson Marques de Miranda,Salinas
 Proposta de Gestão para Acompanhamento de Pré-Egressos e Egressos no IFNMG Campus Salinas.,Romildo Lopes de Oliveira,Salinas
Diversificação da produção e sustentabilidade ambiental em pequenas propriedades na região de Salinas/MG,Fabiano Matos Pereira,Salinas
 Levantamento estatístico das plantas nativas da microrregião de Salinas com propriedades benéficas para a comunidade.,Roberta Magalhaes Dias Cardozo,Salinas
Iniciação à aritmética - despertando talentos potenciais,Leonardo Martins do Nascimento,Salinas
 SERVET - empresa júnior do curso de Medicina Veterinária,Wolff Camargo Marques Filho,Salinas
Avaliação físico-química e microbiológicas de polpas de frutas congeladas comercializadas na região de Salinas- MG,Alexandre Santos de Souza,Salinas
 Inventário e Análise da Arborização do Instituto Federal do Norte de Minas Gerais - Campus Salinas,Jessica Costa de Oliveira,Salinas
Acompanhamento de Egressos,Romildo Lopes de Oliveira,Salinas
"II Festival Intercampi de Culturas: Encantos dos Vales, Montes e Sertões do IFNMG",Fabiene Brito Mendes Teles,Salinas
Sustentabilidade Ambiental,Alessandro de Paula Silva,Salinas
