Projetos de Pesquisa Cadastrados em 2018,,
Campus,Título,Nome Coordenador
Januária,Avaliação da Carcaça de Suínos de Raças Rústicas e seus Cruzamentos,Eduardo Souza do Nascimento
Januária,Jogo Educacional Digital sobre o Parque Nacional Cavernas do Peruaçu,Joselice Ferreira Lima
Januária,"Distribuição Espacial, Desenvolvimento e Reprodução de Edessa rufomarginata ( Heptera: Pentatomidae) e Utilização de Seus Ovos na Produção do Parasitóide Trissolcus basalis ( Hymenoptera: Scelionidae)",Elaine Souza Gomes Brito
Januária,Capacidade de Brachiara Ruzizienesis na Recuperação de Solo Contaminado Por Herbicida Utilizando a Soja como Espécie Indicadora,Rodrigo Amato Moreira
Januária,Estudo Investigativo Sobre o Ensino dos Produtos Notáveis de Binômios Através do Triângulo Aritmético: Elaboração de um Jogo Didático Pedagógico,Gustavo Pereira Gomes
Januária,Câncer de Colo Uterino: A Relação da Oferta do Exame Papanicolau com a Doença,Liliam Alkmim Matos
Januária,Produção de Sequência Didática para o Ensino de Geometria Espacial,Fabrícia Gracielle Santos
Januária,Produção de Mudas de Couve-flor e Brócolis com Substrato à Base da Casca de Pequi,Rodrigo Amato Moreira
Januária,A Influência do Programa Bolsa Família na Educação,Felipe Lisboa Guedes
Januária,A Formação do Preço no Setor de Moda: Um Estudo de Caso da Cidade de Januária- MG,Felipe Lisboa Guedes
Januária,CARACATERIZAÇÃO DE CRISTAIS DA FORMA (NH4)2K2x Mn2(1-x)CryNi(1-y)(SO4)2.6H2O APÓS TRATAMENTO TÉRMICO,Lara Fernanda Nunes Dourado
Januária,Análise do Patrimônio Histórico-Arquitetônico no Município de Januária – MG,Lara fernanda Nunes Dourado
Januária,Reflexões sobre os conhecimentos em Geometria dos Alunos Ingressantes no Curso de Licenciatura em Matemática do IFNMG – Campus Januária,Daniel Martins Nunes 
Januária,Contribuições do Material Manipulável para Aprendizagem de Sólidos de Revolução: Experiências em Sala de Aula,Daniel Martins Nunes 
Januária,Reflexões sobre as plicações da Trigonometria no Curso Técnico de Meio Ambiente Integrado ao Ensino Médio,Daniel Martins Nunes 
Januária,O Processo de Recrutamento e Seleção como Ferramenta de Gestão,Francisco Farlei de Carvalho Lisboa
Januária,"Avaliação do Conhecimento sobre  a dengue de jovens estudantes, em uma região endêmica de Januária – MG",Roberta Barroso
Januária,Biodisponibilidade de Potássio em Minerais Silicáticos,Tatiana Tozzi Martins Souza Rodrigues
Januária,Efeitos Socioeconômicos causados pela Implementação do Programa Bolsa Família na Cidade de Januária,Felipe Lisboa Guedes
Januária,Reflexões sobre o Ensino de Geometria nos Cursos de Pedagogia da Cidade de Januária/MG,Daniel Martins Nunes 
Januária,Marketing de Relacionamento: Análise do nível de satisfação do cliente em uma academia de ginástica em Januária,Roberto Comini Frota
Januária,Astronomia e Saberes Tradicionais no Ensino Médio em Escolas Xakriabá: Os Sábios e a Construção do Conhecimento na Interculturalidade,Suzana Alves Escobar
Januária,A função Gerencial dos Coordenadores de Cursos de Graduação: Um Estudo de Caso no IFNMG – Campus Januária,Érica Souza Tupiná
Januária,Substrato à Base de Pequi na Produção de Mudas de Couve-flor e de Repolho,Rodrigo Amato Moreira
Januária,"Métodos de Concessão de Crediário no Ramo Supermercadista na Cidade de Januária, Minas Gerais",Felipe Lisboa Guedes
Montes Claros,Avaliação de Catalisadores Heterogêneos e óleos Vegetais na Produção de Biodiesel,Cláudia A. Fernandes Pereira
